BLDGID4,REGION4,CENDIV4,SQFTC4,PBA4,HTCNTL4,HTTHRM4,RDHTNF4,BOILER4,FURNAC4,SLFCON4,PKGHT4,HTPMPH4,DUCTHT4,REHEAT4,FNCLHT4,BBDRAD4,OTHTEQ4,OTHTQ14,CLCNTL4,CLTHRM4,RDCLNF4,CHILLR4,ACWNWL4,PKGCL4,HTPMPC4,DUCTCL4,FNCLCL4,OTCLEQ4,OTCLQ14,CHLYRC4,PKCYRC4,CFRIG4,CFRZR4,RFRIG4,RFRZR4,ICE4,SODA4,WTRCL4,OTREF4,OTREF14,PORVAC4,VAC3MP4,MONUSE4,YRCONC4,WLCNS4,RFCNS4,COMPRM4,GENER4,COGEN4,GRID4,PURPA4,FACIL4,PLANT4,BLDPLT4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,FACACT4,FACTSRC4
4545,2,3,6,13,2,,1,1,2,2,2,2,1,2,2,1,2,,2,,1,2,1,2,2,1,1,2,,,,1,1,2,2,2,2,1,2,,2,0,12,3,4,2,2,2,,,,1,2,,324.11,19,2,1,1,1,2,2,3,3
4546,2,3,4,2,1,1,1,2,2,2,2,2,1,2,2,1,2,,1,1,1,1,2,1,2,1,2,2,,2,2,2,2,1,2,2,1,1,2,,1,33,12,5,1,4,1,2,,,,1,2,,21.19,8,1,1,1,2,2,2,12,3
4547,2,3,4,13,2,,1,1,1,2,2,2,2,2,2,2,2,,2,,1,1,2,2,2,2,2,2,,4,,2,2,2,2,2,1,1,2,,2,0,12,3,4,3,2,2,,,,2,,,216.77,12,1,1,1,2,2,2,,
4548,1,2,2,3,2,,2,1,1,2,2,2,2,2,1,2,2,,1,1,1,2,1,2,2,2,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,3,4,3,2,2,,,,2,,,2039.07,13,2,1,1,2,2,2,,
4549,3,7,5,12,2,,2,2,2,2,2,2,1,1,2,2,2,,2,,2,2,2,1,2,1,2,2,,,3,2,2,1,2,2,1,1,2,,2,0,12,6,4,4,1,2,,,,1,1,2,235.53,13,1,1,2,2,2,2,7,1
4550,4,9,6,13,2,,1,1,2,2,2,2,2,2,2,1,2,,1,1,1,2,1,2,2,2,2,2,,,,2,2,1,2,1,1,1,2,,2,0,10,3,4,4,2,2,,,,1,1,1,163.32,7,1,1,1,1,2,2,2,2
4551,3,5,8,15,1,1,7,2,2,2,2,2,1,1,2,2,2,,1,1,7,2,2,1,2,1,2,2,,,3,1,1,1,2,1,1,1,2,,2,0,12,6,3,6,2,2,,,,1,1,2,20.84,16,1,1,1,2,1,2,6,1
4552,3,5,5,3,,,,,,,,,,,,,,,2,,2,2,1,2,2,2,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,5,4,7,2,2,,,,2,,,358.11,15,1,1,2,2,2,2,,
4553,3,5,2,13,1,1,1,2,2,2,1,2,2,1,2,2,2,,1,1,1,2,2,1,2,2,2,2,,,3,2,2,2,2,2,2,2,2,,2,0,10,6,5,3,2,2,,,,1,1,2,1377.41,8,1,1,2,2,2,2,2,1
4554,4,9,8,13,2,,1,1,2,1,2,2,1,1,1,1,2,,2,,1,1,1,2,2,1,1,2,,2,,1,1,1,2,1,1,1,2,,2,0,12,3,3,4,1,2,,,,1,2,,20.1,10,2,1,1,2,2,2,2,3
4555,3,5,5,2,2,,7,1,2,2,2,2,2,2,2,2,2,,2,,7,1,2,2,2,2,2,2,,3,,2,2,1,1,2,1,1,2,,2,0,12,6,4,4,1,2,,,,1,1,2,22.3,4,1,1,2,2,2,2,7,1
